gender,category,ebayCategory,itemName
Womens,Clothing,Jeans,High Waist Jeans
Womens,Clothing,Tops & Blouses,Tunic Top
Womens,Clothing,Trousers,Faux Leather Trousers
Womens,Clothing,Coats & Jackets,Waxed Cotton Jacket
Womens,Clothing,Jumpers & Cardigans,Crew Neck Jumper Sweater
Womens,Clothing,Tops & Blouses,Top
Womens,Clothing,Skirts,Tulip Skirt
Womens,Clothing,Activewear Tops,Pullover Tracksuit Top
Womens,Clothing,Coats & Jackets,Gilet
Womens,Clothing,Dresses,Shirt Dress
Womens,Clothing,Tops & Blouses,Cami Top
Womens,Clothing,Coats & Jackets,Capelet Coat
Womens,Clothing,Coats & Jackets,Bolero Jacket
Womens,Clothing,Activewear Skirts & Skorts,Tennis Skirt
Womens,Clothing,Dresses,Hoodie Dresses
Womens,Clothing,Jumpers & Cardigans,Shawl Neck Jumper Sweater
Womens,Clothing,Suits & Tailoring,2 Piece Suit
Womens,Clothing,Coats & Jackets,MA-1 Flight Jacket
Womens,Clothing,Dresses,Pinafore Dress
Womens,Clothing,Dresses,Jumper Dress
Womens,Clothing,Coats & Jackets,Double Breasted Coat
Womens,Clothing,Tops & Blouses,Crop Top
Womens,Clothing,Activewear Tops,Tracksuit Top
Womens,Clothing,Coats & Jackets,Windbreaker Coat
Womens,Clothing,Shorts,Hot Pants
Womens,Clothing,Dresses,Drop Waist Dress
Womens,Clothing,Skirts,Sarong Skirt
Womens,Clothing,Jeans,Straight Jeans
Womens,Clothing,Skirts,Corduroy Skirt
Womens,Clothing,Skirts,Gypsy Skirt
Womens,Clothing,Trousers,Casual Trousers
Womens,Clothing,Jumpsuits & Playsuits,Jumpsuit
Womens,Clothing,Dresses,Sundress
Womens,Clothing,Dresses,Tennis Dress
Womens,Clothing,Jumpers & Cardigans,Vest Tank Top
Womens,Clothing,Activewear Tops,Graphic Top Long Sleeve
Womens,Clothing,Shirts,Formal Shirt
Womens,Clothing,Coats & Jackets,Kimono Jacket
Womens,Clothing,Coats & Jackets,Denim Jacket
Womens,Clothing,Skirts,Knife Pleated Skirt
Womens,Clothing,Tops & Blouses,Polo Shirt
Womens,Clothing,Coats & Jackets,Fleece Gilet
Womens,Clothing,Skirts,Trumpet Skirt
Womens,Clothing,Tops & Blouses,Graphic Top Long Sleeve
Womens,Clothing,Tops & Blouses,Top Long Sleeve
Womens,Clothing,Coats & Jackets,Parka Jacket
Womens,Clothing,Coats & Jackets,Suede Jacket
Womens,Clothing,Coats & Jackets,Reversible Jacket
Womens,Clothing,Shorts,Shorts
Womens,Clothing,Dresses,Mermaid Dress
Womens,Clothing,Trousers,Riding Trousers
Womens,Clothing,Swimwear,Swimming Shorts
Womens,Clothing,Tops & Blouses,Off Shoulder Top
Womens,Clothing,Tops & Blouses,See Through Top
Womens,Clothing,Jeans,Tapered Jeans
Womens,Clothing,Leggings,Leather Leggings
Womens,Clothing,Coats & Jackets,Leather Coat
Womens,Clothing,Jumpers & Cardigans,Sweater
Womens,Clothing,Dresses,Halter Dress
Womens,Clothing,Dresses,Pencil Dress
Womens,Clothing,Dresses,Princess Dress
Womens,Clothing,Jumpers & Cardigans,Turtle Neck Jumper Sweater
Womens,Clothing,Jeans,Low Waist Jeans
Womens,Clothing,Activewear Tops,Graphic Vest Top
Womens,Clothing,Coats & Jackets,Duffle Coat
Womens,Clothing,Dresses,Charleston Dress
Womens,Clothing,Dresses,Tea Dress
Womens,Clothing,Jumpers & Cardigans,Zip Neck Jumper Sweater
Womens,Clothing,Trousers,Waterproof Trousers
Womens,Clothing,Skirts,A-Line Skirt
Womens,Clothing,Dresses,Bodycon Dress
Womens,Clothing,Jeans,Jegging Jeans
Womens,Clothing,Jumpers & Cardigans,Cardigan Sweater
Womens,Clothing,Jumpers & Cardigans,Roll Neck Jumper Sweater
Womens,Clothing,Dresses,Asymmetrical Dress
Womens,Clothing,Coats & Jackets,Jacket
Womens,Clothing,Hoodies & Sweats,Sweatshirt Jumper
Womens,Clothing,Tops & Blouses,Bolero Top
Womens,Clothing,Jeans,Loose Jeans
Womens,Clothing,Dresses,Pouf Dress
Womens,Clothing,Activewear Tops,Polo shirt
Womens,Clothing,Activewear Skirts & Skorts,Golf Skirt
Womens,Clothing,Coats & Jackets,Padded Gilet
Womens,Clothing,Jeans,Flared Jeans
Womens,Clothing,Tops & Blouses,Graphic Top Long Sleeve
Womens,Clothing,Coats & Jackets,Windbreaker Jacket
Womens,Clothing,Coats & Jackets,Fur Coat
Womens,Clothing,Tops & Blouses,Shirt Blouse
Womens,Clothing,Skirts,Circle Skirt
Womens,Clothing,Coats & Jackets,Raincoat
Womens,Clothing,Coats & Jackets,Cape Coat
Womens,Clothing,Dresses,One Shoulder Dress
Womens,Clothing,Coats & Jackets,Quilted Jacket
Womens,Clothing,Dresses,Apron Dress
Womens,Clothing,Coats & Jackets,Duffle Jacket
Womens,Clothing,Coats & Jackets,Poncho Coat
Womens,Clothing,Coats & Jackets,Shearling Jacket
Womens,Clothing,Jumpers & Cardigans,Boat Neck Jumper Sweater
Womens,Clothing,Coats & Jackets,Blazer Jacket
Womens,Clothing,Dresses,Dungaree Dress
Womens,Clothing,Jumpsuits & Playsuits,Playsuit
Womens,Clothing,Suits & Tailoring,2 Piece Set
Womens,Clothing,Jumpers & Cardigans,Polo Neck Jumper Sweater
Womens,Clothing,Skirts,Denim Skirt
Womens,Clothing,Coats & Jackets,Denim Gilet
Womens,Clothing,Coats & Jackets,Corduroy Coat
Womens,Clothing,Tracksuits,Full Tracksuit
Womens,Clothing,Tops & Blouses,Graphic Vest Top
Womens,Clothing,Coats & Jackets,Leather Gilet
Womens,Clothing,Skirts,Tennis Skirt
Womens,Clothing,Swimwear,Bikini
Womens,Clothing,Coats & Jackets,Denim Coat
Womens,Clothing,Waistcoats,Waistcoat
Womens,Clothing,Skirts,Flared Skirt
Womens,Clothing,Trousers,Suit Trousers
Womens,Clothing,Coats & Jackets,Corduroy Gilet
Womens,Clothing,Dresses,Kaftan Dress
Womens,Clothing,Coats & Jackets,Utility Gilet
Womens,Clothing,Dresses,Slip Dress
Womens,Clothing,Dresses,Strapless Dress
Womens,Clothing,Coats & Jackets,Sherpa Jacket
Womens,Clothing,Skirts,Leather Skirt
Womens,Clothing,Tops & Blouses,One Shoulder Top
Womens,Clothing,Shirts,Ruffle Front Shirt
Womens,Clothing,Coats & Jackets,Trench Coat
Womens,Clothing,Coats & Jackets,Shearling Coat
Womens,Clothing,Jumpers & Cardigans,Jumper
Womens,Clothing,Shirts,Shirt
Womens,Clothing,Skirts,Wrap Skirt
Womens,Clothing,Jeans,Capri Jeans
Womens,Clothing,Dresses,Qi-Pao Dress
Womens,Clothing,Activewear Jackets,Tracksuit Top Jacket
Womens,Clothing,Dresses,A-Line Dress
Womens,Clothing,Activewear Tops,Top 3/4 Sleeve
Womens,Clothing,Shorts,Cargo Shorts
Womens,Clothing,Activewear Skirts & Skorts,Skort
Womens,Clothing,Coats & Jackets,Leather Jacket
Womens,Clothing,Coats & Jackets,Chesterfield Coat
Womens,Clothing,Dresses,Tiered Dress
Womens,Clothing,Trousers,Harem Trousers
Womens,Clothing,Trousers,Chino Trousers
Womens,Clothing,Skirts,Bubble Skirt
Womens,Clothing,Jumpers & Cardigans,Jumper Sweater
Womens,Clothing,Coats & Jackets,Bomber Jacket
Womens,Clothing,T-Shirts,T-Shirt Top
Womens,Clothing,Coats & Jackets,Utility Jacket
Womens,Clothing,Dresses,Hoodie Dress
Womens,Clothing,Jumpers & Cardigans,Button Neck Jumper Sweater
Womens,Clothing,Activewear Shorts,Sport Shorts
Womens,Clothing,Activewear Tops,Graphic Top 3/4 Sleeve
Womens,Clothing,Trousers,Windbreaker Trousers
Womens,Clothing,Dresses,Tent Dress
Womens,Clothing,Activewear Tops,Vest Top
Womens,Clothing,Activewear Tops,Graphic T-Shirt Top
Womens,Clothing,Shorts,Chino Shorts
Womens,Clothing,Shirts,Tuxedo Shirt
Womens,Clothing,Skirts,Tiered Skirt
Womens,Clothing,Coats & Jackets,Padded Coat
Womens,Clothing,Jumpsuits & Playsuits,Bodysuit
Womens,Clothing,Coats & Jackets,Rain Jacket
Womens,Clothing,Dresses,Sheath Dress
Womens,Clothing,Activewear Bottoms,Tracksuit Trousers
Womens,Clothing,Activewear Bottoms,Tracksuit Trousers Joggers
Womens,Clothing,Coats & Jackets,Padded Jacket
Womens,Clothing,Shorts,Bermuda Shorts
Womens,Clothing,Activewear Bottoms,Leggings
Womens,Clothing,Coats & Jackets,Anorak Jacket
Womens,Clothing,Skirts,Peplum Skirt
Womens,Clothing,Shirts,Wrap Shirt
Womens,Clothing,Activewear Jackets,Ski Jacket
Womens,Clothing,Coats & Jackets,Racer Jacket
Womens,Clothing,Trousers,Cropped Trousers
Womens,Clothing,Coats & Jackets,Princess Coat
Womens,Clothing,Skirts,Skirt
Womens,Clothing,Coats & Jackets,Waterproof Jacket
Womens,Clothing,Dresses,Tutu Dress
Womens,Clothing,Tops & Blouses,Top 3/4 Sleeve
Womens,Clothing,Dresses,Polo Dress
Womens,Clothing,Activewear Tops,Jersey Top
Womens,Clothing,Activewear Bottoms,Ski Trousers
Womens,Clothing,Tops & Blouses,Blouse Top
Womens,Clothing,Jeans,Bootcut Jeans
Womens,Clothing,Dresses,Shift Dress
Womens,Clothing,Dresses,Peplum Dress
Womens,Clothing,Skirts,Tutu Skirt
Womens,Clothing,Skirts,Ruffle Skirt
Womens,Clothing,Activewear Bottoms,Waterproof Trousers
Womens,Clothing,Jeans,Jeans
Womens,Clothing,Trousers,Capri Trousers
Womens,Clothing,Activewear Bottoms,Windbreaker Trousers
Womens,Clothing,Jumpers & Cardigans,Poncho Jumper
Womens,Clothing,Tops & Blouses,Vest Top
Womens,Clothing,Coats & Jackets,Corduroy Jacket
Womens,Clothing,Dresses,T-Shirt Dress
