sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
AZO080324001 ,VINTAGE Womens Leather Coat IT 48 XL Black Leather ,Vintage,Fair Used Condition: the item has been frequently worn and may have numerous flaws,Womens,Clothing,Coats & Jackets,63862,,,,,1,XL,XL,48,,,Stains all over .,27.95,NO,,,Leather Coat,,Pockets,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-51-21-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-51-47-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-52-20-0003.jpeg,,,,,,,,,,,,,Black,,,Leather,Leather Coat,Button,Regular,,Leather,Collared,Long Sleeve,21,19,,,30,,,,,,,,,,,2024-03-12T07:53:58.9588906
AZO080324002 ,CHAPS Mens Shirt Large Grey Cotton ,Chaps,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,L,,,,16.95,NO,,,Shirt,,Cuffed,Pockets,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-55-39-0005.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-56-22-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-56-43-0007.jpeg,,,,,,,,Logo,,,,,Grey,,,Cotton,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,22,19,,,30,,,,,,,,,,,2024-03-12T07:57:29.3984347
AZO080324003 ,WRANGLER Mens Short Sleeve Shirt 3XL Turquoise Cotton ,Wrangler,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,3XL,3XL,3XL,,,,17.95,NO,,Short Sleeve,Shirt,,Pockets,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-58-28-0009.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-07-59-59-0010.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-00-45-0011.jpeg,,,,,,,,,,,,,Turquoise,,,Cotton,Short Sleeve Shirt,Button,Regular,Spandex,Woven,Collared,Short Sleeve,29,,,,31,,,,,,,,,,,2024-03-12T08:01:29.3168872
AZO080324004 ,EDDIE BAUER Mens Hooded Windbreaker Jacket UK 36 Small Grey Nylon ,Eddie Bauer,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,S,Small,S,,,,39.95,NO,,Hooded,Windbreaker Jacket,,Adjustable Waist,Windproof,Pockets,Comfort,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-05-19-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-05-56-0014.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-06-13-0015.jpeg,,,,,,,,,,,,,Grey,,,Nylon,Hooded Windbreaker Jacket,Zip,Regular,,Microfibre,Round Neck,Long Sleeve,21,19,36,,29,,,,,,,,,,,2024-03-12T08:06:58.4853582
AZO080324005 ,BEST COMPANY Mens Shirt Medium Black Check ,Best Company,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,M,Medium,M,,,,16.95,NO,,,Shirt,,Cuffed,Pockets,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-10-41-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-11-09-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-11-22-0019.jpeg,,,,,,,,,,,,,Black,,Check,,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,22,21,,,30,,,,,,,,,,,2024-03-12T08:12:54.663416
AZO080324006 ,PUMA Mens Tracksuit Trousers Joggers Small Black Cotton ,Puma,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Bottoms,260956,,,,,1,S,Small,S,,,Fading colour.,18.95,NO,,,Tracksuit Trousers Joggers,,Elastic Waist,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-14-22-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-14-57-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-15-12-0023.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Tracksuit Trousers Joggers,Pull On,Regular,Polyester,Jersey,,,,,,,,,,,27,9,,,,28,,2024-03-12T08:16:33.4766041
AZO080324007 ,PUMA Womens Tracksuit Trousers Joggers UK 16 Large Black Cotton ,Puma,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Activewear Bottoms,260954,,,,,1,16,Size 16,UK 16,,,Fading colour.,18.95,NO,,,Tracksuit Trousers Joggers,,Adjustable Waist,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-17-44-0025.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-18-15-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-18-36-0027.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Tracksuit Trousers Joggers,Drawstring,Regular,Polyester,Jersey,,,,,,,,,,,29,9,,,,36,,2024-03-12T08:21:05.0446937
AZO080324008 ,NIKE Mens Dri Fit Standard Fit Tracksuit Trousers Joggers Medium Grey ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Bottoms,260956,,,,,1,M,Medium,M,,,,19.95,NO,,Standard Fit,Tracksuit Trousers Joggers,,Adjustable Waist,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-22-20-0029.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-22-55-0030.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-23-08-0031.jpeg,,,,,,,,Logo,,,,,Grey,Dri Fit,,Polyester,Standard Fit Tracksuit Trousers Joggers,Drawstring,Regular,Viscose,Microfibre,,,,,,,,,,,28,11,,,,34,,2024-03-12T08:23:56.21448
AZO080324009 ,PUMA Mens Tracksuit Trousers Joggers Large Black Colourblock Cotton ,Puma,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Bottoms,260956,,,,,1,L,Large,L,,,,19.95,NO,,,Tracksuit Trousers Joggers,,Adjustable Waist,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-24-51-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-25-30-0034.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-25-53-0035.jpeg,,,,,,,,Logo,,,,,Black,,Colourblock,Cotton,Tracksuit Trousers Joggers,Drawstring,Regular,Polyester,Jersey,,,,,,,,,,,29,9,,,,32,,2024-03-12T08:26:37.9641771
AZO080324010 ,ADIDAS Mens Climalite Graphic Tracksuit Trousers Joggers Medium Black ,Adidas,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Bottoms,260956,,,,,1,M,Medium,M,,,,19.95,NO,,Graphic,Tracksuit Trousers Joggers,,Elastic Waist,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-30-34-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-31-07-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-08-31-28-0039.jpeg,,,,,,,,Logo,,,,,Black,Climalite,,Cotton,Graphic Tracksuit Trousers Joggers,Pull On,Regular,Polyester,Jersey,,,,,,,,,,,31,10,,,,30,,2024-03-12T08:32:24.9006182
